LOTE,MUNICÍPIO,CLASSIFICAÇÃO,PÁTIO,FAB/MOD,UF,MARCA,MODELO,TIPO,COR,NOME_POPULAR,AVALIAÇÃO,Lance Inicial,Valor da Arrematação
21120003,Diamantino,Conservado,,FIAT/UNO MILLE WAY ECON,MS,FIAT,UNO MILLE WAY ECON,Carro,VERMELHA,UNO,"R$25.257,00","R$7.577,10",
21120008,Diamantino,Conservado,,FIAT/SIENA HLX FLEX,MT,FIAT,SIENA HLX FLEX,Carro,BRANCA,SIENA,"R$20.358,00","R$6.107,40","R$6.307,40"
21120009,Diamantino,Conservado,,FIAT/UNO MILLE ECONOMY,MT,FIAT,UNO MILLE ECONOMY,Carro,AZUL,UNO,"R$20.048,00","R$6.014,40",
21120012,Diamantino,Conservado,,FORD/KA FLEX,MT,FORD,KA FLEX,Carro,BRANCA,KA,"R$26.272,00","R$7.881,60","R$7.881,60"
21120018,Diamantino,Conservado,,VW/NOVO VOYAGE CL MBP,MT,VW,NOVO VOYAGE CL MBP,Carro,BRANCA,VOYAGE,"R$49.580,00","R$14.874,00","R$18.274,00"
21120020,Diamantino,Conservado,,I/VW AMAROK CD 4X4 SE,MT,VK,VW AMAROK CD 4X4 SE,Carro,PRATA,AMAROK,"R$111.113,00","R$33.333,90","R$54.600,00"
21120021,Diamantino,Conservado,,MMC/L200 TRITON GLX D,MT,MMC,L200 TRITON GLX D,Carro,PRATA,L200,"R$102.853,00","R$30.855,90","R$55.255,90"
21120022,Diamantino,Conservado,,FLASH/MV CITY 150,MT,FLASH,MV CITY 150,Moto,PRETA,CITY,"R$4.582,00","R$1.374,60",
21120023,Diamantino,Conservado,,HONDA/CB 300R,MT,HONDA,CB 300R,Moto,BRANCA,CB 300,"R$11.945,00","R$3.583,50","R$3.583,50"
21120024,Diamantino,Conservado,,HONDA/CG 125 CARGO KS,MT,HONDA,CG 125 CARGO KS,Moto,PRETA,CG 125,"R$7.002,00","R$2.100,60","R$2.100,60"
21120025,Diamantino,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,BRANCA,CG 125,"R$5.507,00","R$1.652,10","R$1.752,10"
21120026,Diamantino,Conservado,,HONDA/CG 150 TITAN EX,MT,HONDA,CG 150 TITAN EX,Moto,VERMELHA,CG 150,"R$11.357,00","R$3.407,10","R$4.107,10"
21120027,Diamantino,Conservado,,HONDA/CG 160 FAN ESDI,MT,HONDA,CG 160 FAN ESDI,Moto,AZUL,CG 160,"R$12.394,00","R$3.718,20","R$5.618,20"
21120029,Diamantino,Conservado,,HONDA/NXR150 BROS KS,MT,HONDA,NXR150 BROS KS,Moto,PRETA,BROS,"R$8.694,00","R$2.608,20","R$3.608,20"
21120031,Diamantino,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,PRETA,EN 125,"R$5.143,00","R$1.542,90",
21120032,Diamantino,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,AZUL,EN 125,"R$5.711,00","R$1.713,30",
21120033,Diamantino,Conservado,,JTA/SUZUKI INTRUDER 125,MT,JTA,SUZUKI INTRUDER 125,Moto,PRETA,INTRUDER,"R$6.509,00","R$1.952,70",
21120034,Diamantino,Conservado,,YAMAHA/YS150 FAZER SED,MT,YAMAHA,YS150 FAZER SED,Moto,VERMELHA,FAZER,"R$11.024,00","R$3.307,20","R$3.607,20"
21120035,Diamantino,Conservado,,HONDA/C100 BIZ ES,MT,HONDA,C100 BIZ ES,Moto,VERDE,BIZ,"R$5.159,00","R$1.547,70","R$1.547,70"
21120036,Diamantino,Conservado,,HONDA/C100 BIZ MAIS,MT,HONDA,C100 BIZ MAIS,Moto,PRATA,BIZ,"R$6.268,00","R$1.880,40","R$1.880,40"
21120037,Diamantino,Conservado,,YAMAHA/NEO AT115,MT,YAMAHA,NEO AT115,Moto,AZUL,NEO,"R$5.839,00","R$1.751,70",
21120038,Diamantino,Conservado,,I/MMC PAJERO HPE 3.2 D,MT,MMC,MMC PAJERO HPE 3.2 D,Carro,BRANCA,PAJERO,"R$135.842,00","R$40.752,60","R$46.552,60"
21120040,Diamantino,Conservado,,VW/KOMBI,PR,VW,KOMBI,Carro,BRANCA,KOMBI,"R$32.401,00","R$9.720,30","R$20.600,00"
21120042,Diamantino,Conservado,,TOYOTA/COROLLA XLI18FLEX,SP,TOYOTA,COROLLA XLI18FLEX,Carro,PRATA,COROLLA,"R$50.916,00","R$15.274,80","R$34.100,00"
21220044,Cuiabá,Conservado,,HONDA/CG 160 START,MT,HONDA,CG 160 START,Moto,PRETA,CG 160,"R$14.070,00","R$4.221,00","R$8.021,00"
21220046,Cuiabá,Conservado,,R/JHS FZ 1E,MT,R,JHS FZ 1E,Moto,VERMELHA,FZ,"R$3.000,00","R$900,00","R$3.900,00"
21220057,Cuiabá,Conservado,,M.BENZ/L 1318,CE,M.BENZ,L 1318,Caminhão,VERMELHA,L,"R$170.959,00","R$51.287,70","R$88.287,70"
21220058,Cuiabá,Conservado,,VW/8.150 E DELIVERY PLUS,GO,VW,8.150 E DELIVERY PLUS,Caminhão,BRANCA,DELIVERY,"R$36.937,00","R$11.081,10","R$95.581,10"
21220060,Cuiabá,Conservado,,I/GM CLASSIC LIFE,MS,GM,GM CLASSIC LIFE,Carro,PRATA,CLASSIC,"R$19.767,00","R$5.930,10","R$6.600,00"
21220062,Cuiabá,Conservado,,HONDA/CG 125 TITAN ES,MS,HONDA,CG 125 TITAN ES,Moto,VERDE,CG 125,"R$6.451,00","R$1.935,30",
21220063,Cuiabá,Conservado,,CHEV/PRISMA 1.4AT LT,MT,CHEV,PRISMA 1.4AT LT,Carro,BRANCA,PRISMA,"R$62.769,00","R$18.830,70","R$40.400,00"
21220065,Cuiabá,Conservado,,FIAT/PALIO WK ADVEN FLEX,MT,FIAT,PALIO WK ADVEN FLEX,Carro,BRANCA,PALIO,"R$40.386,00","R$12.115,80","R$23.715,80"
21220066,Cuiabá,Conservado,,FIAT/UNO MILLE FIRE FLEX,MT,FIAT,UNO MILLE FIRE FLEX,Carro,PRATA,UNO,"R$14.789,00","R$4.436,70","R$6.036,70"
21220067,Cuiabá,Conservado,,FIAT/UNO MILLE WAY ECON,MT,FIAT,UNO MILLE WAY ECON,Carro,BRANCA,UNO,"R$26.782,00","R$8.034,60","R$8.834,60"
21220068,Cuiabá,Conservado,,FORD/ESCORT GL,MT,FORD,ESCORT GL,Carro,CINZA,ESCORT,"R$4.618,00","R$1.385,40","R$1.585,40"
21220073,Cuiabá,Conservado,,GM/CORSA CLASSIC,MT,GM,CORSA CLASSIC,Carro,PRATA,CORSA,"R$14.628,00","R$4.388,40",
21220074,Cuiabá,Conservado,,GM/CORSA WIND,MT,GM,CORSA WIND,Carro,BRANCA,CORSA,"R$8.590,00","R$2.577,00",
21220079,Cuiabá,Conservado,,PEUGEOT/206 16 PRESENC,MT,PEUGEOT,206 16 PRESENC,Carro,VERMELHA,206,"R$10.106,00","R$3.031,80",
21220082,Cuiabá,Conservado,,VW/GOL 1.0,MT,VW,GOL 1.0,Carro,PRETA,GOL,"R$15.900,00","R$4.770,00",
21220084,Cuiabá,Conservado,,VW/GOL 1.0,MT,VW,GOL 1.0,Carro,BRANCA,GOL,"R$17.738,00","R$5.321,40",
21220085,Cuiabá,Conservado,,VW/GOL 1.0,MT,VW,GOL 1.0,Carro,PRETA,GOL,"R$21.126,00","R$6.337,80",
21220086,Cuiabá,Conservado,,VW/GOL 1.0 GIV,MT,VW,GOL 1.0 GIV,Carro,BRANCA,GOL,"R$23.150,00","R$6.945,00","R$6.945,00"
21220089,Cuiabá,Conservado,,VW/GOL 1.6,MT,VW,GOL 1.6,Carro,BRANCA,GOL,"R$27.656,00","R$8.296,80",
21220091,Cuiabá,Conservado,,VW/GOL MI,MT,VW,GOL MI,Carro,VERMELHA,GOL,"R$13.316,00","R$3.994,80",
21220093,Cuiabá,Conservado,,VW/GOL PLUS MI,MT,VW,GOL PLUS MI,Carro,VERMELHA,GOL,"R$8.831,00","R$2.649,30",
21220094,Cuiabá,Conservado,,VW/GOL SPECIAL,MT,VW,GOL SPECIAL,Carro,PRETA,GOL,"R$11.496,00","R$3.448,80",
21220096,Cuiabá,Conservado,,FIAT/FIORINO IE,MT,FIAT,FIORINO IE,Carro,BRANCA,FIORINO,"R$20.451,00","R$6.135,30","R$8.335,30"
21220098,Cuiabá,Conservado,,FIAT/STRADA FIRE FLEX,MT,FIAT,STRADA FIRE FLEX,Carro,BRANCA,STRADA,"R$31.000,00","R$9.300,00","R$13.100,00"
21220101,Cuiabá,Conservado,,I/HAFEI RUIYI PICKUP L,MT,HAFEI,HAFEI RUIYI PICKUP L,Carro,PRATA,RUIYI,"R$14.827,00","R$4.448,10","R$9.000,00"
21220102,Cuiabá,Conservado,,I/KIA K2500 HD,MT,HYUNDAI,KIA K2500 HD,Carro,BRANCA,K2500,"R$70.980,00","R$21.294,00","R$21.294,00"
21220103,Cuiabá,Conservado,,DAFRA/ZIG 50,MT,DAFRA,ZIG 50,Moto,VERMELHA,ZIG,"R$2.586,00","R$775,80","R$875,80"
21220104,Cuiabá,Conservado,,FLASH/MV TEEN 50,MT,FLASH,MV TEEN 50,Moto,PRATA,TEEN,"R$2.361,00","R$708,30","R$1.008,30"
21220105,Cuiabá,Conservado,,I/SHINERAY XY50Q PHOENIX,MT,Shineray,SHINERAY XY50Q PHOENIX,Moto,PRETA,SHINERAY,"R$2.670,00","R$801,00",
21220106,Cuiabá,Conservado,,DAFRA/RIVA 150,MT,DAFRA,RIVA 150,Moto,VERMELHA,RIVA,"R$5.087,00","R$1.526,10","R$1.626,10"
21220107,Cuiabá,Conservado,,DAFRA/SPEED 150,MT,DAFRA,SPEED 150,Moto,AZUL,SPEED,"R$3.561,00","R$1.068,30",
21220108,Cuiabá,Conservado,,DAFRA/SPEED 150,MT,DAFRA,SPEED 150,Moto,AZUL,SPEED,"R$3.743,00","R$1.122,90",
21220109,Cuiabá,Conservado,,DAFRA/ZIG PLUS,MT,DAFRA,ZIG PLUS,Moto,VERMELHA,ZIG,"R$3.601,00","R$1.080,30",
21220110,Cuiabá,Conservado,,HONDA/CG 125 CARGO,MT,HONDA,CG 125 CARGO,Moto,BRANCA,CG 125,"R$3.644,00","R$1.093,20",
21220111,Cuiabá,Conservado,,HONDA/CG 125 CARGO KS,MT,HONDA,CG 125 CARGO KS,Moto,BRANCA,CG 125,"R$6.485,00","R$1.945,50",
21220114,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.369,00","R$1.610,70","R$1.610,70"
21220115,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.369,00","R$1.610,70","R$1.910,70"
21220116,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.507,00","R$1.652,10","R$2.152,10"
21220117,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.507,00","R$1.652,10","R$2.152,10"
21220118,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,CINZA,CG 125,"R$5.507,00","R$1.652,10","R$1.752,10"
21220119,Cuiabá,Conservado,,HONDA/CG 125 FAN,MT,HONDA,CG 125 FAN,Moto,PRETA,CG 125,"R$5.507,00","R$1.652,10","R$2.052,10"
21220120,Cuiabá,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.163,00","R$2.148,90","R$2.248,90"
21220121,Cuiabá,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.343,00","R$2.202,90","R$2.502,90"
21220122,Cuiabá,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.343,00","R$2.202,90","R$3.102,90"
21220123,Cuiabá,Conservado,,HONDA/CG 125 FAN ES,MT,HONDA,CG 125 FAN ES,Moto,PRETA,CG 125,"R$7.538,00","R$2.261,40","R$3.961,40"
21220125,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$5.648,00","R$1.694,40","R$1.894,40"
21220127,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.482,00","R$1.944,60","R$1.944,60"
21220128,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.482,00","R$1.944,60","R$1.944,60"
21220129,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.482,00","R$1.944,60","R$2.144,60"
21220130,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.482,00","R$1.944,60","R$1.944,60"
21220131,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.819,00","R$2.045,70",
21220132,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.819,00","R$2.045,70","R$3.945,70"
21220133,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,MT,HONDA,CG 125 FAN KS,Moto,PRETA,CG 125,"R$6.999,00","R$2.099,70","R$2.299,70"
21220134,Cuiabá,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,CINZA,CG 125,"R$4.526,00","R$1.357,80","R$1.557,80"
21220135,Cuiabá,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,AZUL,CG 125,"R$4.767,00","R$1.430,10",
21220137,Cuiabá,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,AZUL,CG 125,"R$4.767,00","R$1.430,10",
21220139,Cuiabá,Conservado,,HONDA/CG 125 TITAN,MT,HONDA,CG 125 TITAN,Moto,AZUL,CG 125,"R$5.097,00","R$1.529,10",
21220141,Cuiabá,Conservado,,HONDA/CG 125 TITAN ES,MT,HONDA,CG 125 TITAN ES,Moto,PRATA,CG 125,"R$6.451,00","R$1.935,30","R$2.035,30"
21220142,Cuiabá,Conservado,,HONDA/CG 125 TITAN ES,MT,HONDA,CG 125 TITAN ES,Moto,PRATA,CG 125,"R$6.451,00","R$1.935,30",
21220145,Cuiabá,Conservado,,HONDA/CG 125 TITAN KS,MT,HONDA,CG 125 TITAN KS,Moto,VERMELHA,CG 125,"R$5.725,00","R$1.717,50",
21220147,Cuiabá,Conservado,,HONDA/CG 150 FAN ESI,MT,HONDA,CG 150 FAN ESI,Moto,AZUL,CG 150,"R$9.457,00","R$2.837,10","R$3.037,10"
21220148,Cuiabá,Conservado,,HONDA/CG 150 SPORT,MT,HONDA,CG 150 SPORT,Moto,VERMELHA,CG 150,"R$6.884,00","R$2.065,20","R$2.265,20"
21220149,Cuiabá,Conservado,,HONDA/CG 150 TITAN ES,MT,HONDA,CG 150 TITAN ES,Moto,VERMELHA,CG 150,"R$7.057,00","R$2.117,10",
21220150,Cuiabá,Conservado,,HONDA/CG 150 TITAN ESD,MT,HONDA,CG 150 TITAN ESD,Moto,PRATA,CG 150,"R$11.018,00","R$3.305,40","R$5.005,40"
21220151,Cuiabá,Conservado,,HONDA/CG 150 TITAN EX,MT,HONDA,CG 150 TITAN EX,Moto,VERMELHA,CG 150,"R$11.357,00","R$3.407,10","R$6.000,00"
21220152,Cuiabá,Conservado,,HONDA/CG 150 TITAN KS,MT,HONDA,CG 150 TITAN KS,Moto,BRANCA,CG 150,"R$6.620,00","R$1.986,00","R$1.986,00"
21220153,Cuiabá,Conservado,,HONDA/CG 150 TITAN KS,MT,HONDA,CG 150 TITAN KS,Moto,AZUL,CG 150,"R$7.396,00","R$2.218,80","R$2.218,80"
21220154,Cuiabá,Conservado,,HONDA/CG 160 FAN,MT,HONDA,CG 160 FAN,Moto,VERMELHA,CG 160,"R$13.538,00","R$4.061,40","R$8.161,40"
21220155,Cuiabá,Conservado,,HONDA/CG 160 FAN ESDI,MT,HONDA,CG 160 FAN ESDI,Moto,PRETA,CG 160,"R$12.394,00","R$3.718,20",
21220156,Cuiabá,Conservado,,HONDA/CG 160 START,MT,HONDA,CG 160 START,Moto,PRETA,CG 160,"R$11.464,00","R$3.439,20","R$4.039,20"
21220157,Cuiabá,Conservado,,HONDA/CG 160 START,MT,HONDA,CG 160 START,Moto,CINZA,CG 160,"R$12.550,00","R$3.765,00","R$4.165,00"
21220158,Cuiabá,Conservado,,HONDA/CG150 FAN ESDI,MT,HONDA,CG150 FAN ESDI,Moto,PRATA,CG 150,"R$9.015,00","R$2.704,50","R$3.504,50"
21220159,Cuiabá,Conservado,,HONDA/CG150 TITAN MIX ES,MT,HONDA,CG150 TITAN MIX ES,Moto,AZUL,CG 150,"R$8.135,00","R$2.440,50","R$3.440,50"
21220160,Cuiabá,Conservado,,HONDA/CG150 TITAN MIX EX,MT,HONDA,CG150 TITAN MIX EX,Moto,VERMELHA,CG 150,"R$8.895,00","R$2.668,50",
21220161,Cuiabá,Conservado,,HONDA/CG150 TITAN MIXESD,MT,HONDA,CG150 TITAN MIXESD,Moto,CINZA,CG 150,"R$8.179,00","R$2.453,70","R$2.453,70"
21220162,Cuiabá,Conservado,,HONDA/NXR125 BROS KS,MT,HONDA,NXR125 BROS KS,Moto,AZUL,BROS,"R$5.357,00","R$1.607,10","R$2.507,10"
21220166,Cuiabá,Conservado,,HONDA/XRE 300,MT,HONDA,XRE 300,Moto,VERDE,XRE 300,"R$13.656,00","R$4.096,80",
21220167,Cuiabá,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,AZUL,EN 125,"R$4.907,00","R$1.472,10",
21220168,Cuiabá,Conservado,,JTA/SUZUKI EN125 YES,MT,JTA,SUZUKI EN125 YES,Moto,AZUL,EN 125,"R$5.143,00","R$1.542,90",
21220169,Cuiabá,Conservado,,SUNDOWN/MAX 125 SE,MT,SUNDOWN,MAX 125 SE,Moto,PRATA,MAX 125,"R$1.941,00","R$582,30",
21220170,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 E,MT,YAMAHA,FACTOR YBR125 E,Moto,VERMELHA,FACTOR,"R$5.639,00","R$1.691,70","R$1.691,70"
21220171,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 E,MT,YAMAHA,FACTOR YBR125 E,Moto,VERMELHA,FACTOR,"R$5.639,00","R$1.691,70",
21220172,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 E,MT,YAMAHA,FACTOR YBR125 E,Moto,ROXA,FACTOR,"R$6.235,00","R$1.870,50",
21220173,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 ED,MT,YAMAHA,FACTOR YBR125 ED,Moto,PRETA,FACTOR,"R$6.382,00","R$1.914,60",
21220174,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 K,MT,YAMAHA,FACTOR YBR125 K,Moto,PRETA,FACTOR,"R$5.636,00","R$1.690,80",
21220175,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 K,MT,YAMAHA,FACTOR YBR125 K,Moto,PRETA,FACTOR,"R$5.934,00","R$1.780,20",
21220176,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 K,MT,YAMAHA,FACTOR YBR125 K,Moto,ROXA,FACTOR,"R$5.934,00","R$1.780,20",
21220177,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 K,MT,YAMAHA,FACTOR YBR125 K,Moto,PRETA,FACTOR,"R$6.161,00","R$1.848,30",
21220178,Cuiabá,Conservado,,YAMAHA/FACTOR YBR125 K,MT,YAMAHA,FACTOR YBR125 K,Moto,PRETA,FACTOR,"R$6.327,00","R$1.898,10",
21220179,Cuiabá,Conservado,,YAMAHA/YBR 125E,MT,YAMAHA,YBR 125E,Moto,PRETA,YBR 125,"R$3.132,00","R$939,60","R$1.039,60"
21220181,Cuiabá,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,VERMELHA,YBR 125,"R$5.180,00","R$1.554,00",
21220182,Cuiabá,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,PRETA,YBR 125,"R$5.180,00","R$1.554,00",
21220183,Cuiabá,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,VERMELHA,YBR 125,"R$5.180,00","R$1.554,00",
21220184,Cuiabá,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,AZUL,YBR 125,"R$5.180,00","R$1.554,00",
21220185,Cuiabá,Conservado,,YAMAHA/YBR 125K,MT,YAMAHA,YBR 125K,Moto,PRATA,YBR 125,"R$5.180,00","R$1.554,00","R$1.554,00"
21220186,Cuiabá,Conservado,,HONDA/BIZ 100 ES,MT,HONDA,BIZ 100 ES,Moto,PRETA,BIZ,"R$9.793,00","R$2.937,90","R$4.037,90"
21220187,Cuiabá,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,PRETA,BIZ,"R$6.952,00","R$2.085,60","R$2.885,60"
21220189,Cuiabá,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,BEGE,BIZ,"R$8.500,00","R$2.550,00","R$2.750,00"
21220190,Cuiabá,Conservado,,HONDA/BIZ 125 ES,MT,HONDA,BIZ 125 ES,Moto,ROSA,BIZ,"R$8.500,00","R$2.550,00","R$3.250,00"
21220191,Cuiabá,Conservado,,HONDA/C100 BIZ,MT,HONDA,C100 BIZ,Moto,PRETA,BIZ,"R$4.209,00","R$1.262,70","R$1.462,70"
21220192,Cuiabá,Conservado,,HONDA/C100 BIZ,MT,HONDA,C100 BIZ,Moto,VERDE,BIZ,"R$5.159,00","R$1.547,70","R$1.747,70"
21220193,Cuiabá,Conservado,,HONDA/C100 BIZ ES,MT,HONDA,C100 BIZ ES,Moto,VERMELHA,BIZ,"R$5.033,00","R$1.509,90","R$1.709,90"
21220194,Cuiabá,Conservado,,HONDA/C100 BIZ ES,MT,HONDA,C100 BIZ ES,Moto,VERDE,BIZ,"R$5.775,00","R$1.732,50","R$1.832,50"
21220195,Cuiabá,Conservado,,SUNDOWN/WEB 100,MT,SUNDOWN,WEB 100,Moto,PRATA,WEB 100,"R$2.778,00","R$833,40",
21220198,Cuiabá,Conservado,,HONDA/CG 125 FAN KS,PR,HONDA,CG 125 FAN KS,Moto,VERMELHA,CG 125,"R$6.482,00","R$1.944,60","R$3.044,60"
21220200,Cuiabá,Conservado,,REB/SCHIFFER SSC2E CA,PR,REB,SCHIFFER SSC2E CA,Carro,PRETA,SCHIFFER,"R$80.000,00","R$24.000,00","R$33.500,00"
21220201,Cuiabá,Conservado,,VW/SAVEIRO 1.6,RO,VW,SAVEIRO 1.6,Carro,BRANCA,SAVEIRO,"R$36.171,00","R$10.851,30","R$19.051,30"
21220202,Cuiabá,Conservado,,HONDA/CG 125 FAN ES,RO,HONDA,CG 125 FAN ES,Moto,VERMELHA,CG 125,"R$7.343,00","R$2.202,90","R$3.002,90"
21220203,Cuiabá,Conservado,,YAMAHA/YBR 125ED,RO,YAMAHA,YBR 125ED,Moto,VERDE,YBR 125,"R$5.421,00","R$1.626,30",
21220206,Cuiabá,Conservado,,FIAT/PALIO WEEK ELX FLEX,SP,FIAT,PALIO WEEK ELX FLEX,Carro,PRATA,PALIO,"R$27.777,00","R$8.333,10","R$12.733,10"
21220208,Cuiabá,Conservado,,VW/GOL 1.0 GIV,SP,VW,GOL 1.0 GIV,Carro,BRANCA,GOL,"R$31.441,00","R$9.432,30","R$9.432,30"
21220209,Cuiabá,Conservado,,VW/24.250 CNC 6X2,SP,VW,24.250 CNC 6X2,Caminhão,BRANCA,24.250,"R$186.899,00","R$56.069,70","R$124.000,00"
22120215,Rondonópolis,Conservado,,SR/RODOLINEA SRCAG BTT,GO,SR,RODOLINEA SRCAG BTT,Carro,BRANCA,RODOLINEA,"R$80.000,00","R$24.000,00",
22120219,Rondonópolis,Conservado,,VW/GOL 1.0,MS,VW,GOL 1.0,Carro,BRANCA,GOL,"R$17.738,00","R$5.321,40",
22120220,Rondonópolis,Conservado,,VW/GOL 1.0,MS,VW,GOL 1.0,Carro,PRATA,GOL,"R$31.441,00","R$9.432,30","R$14.832,30"
22120222,Rondonópolis,Conservado,,HONDA/CG 125 TITAN ES,MS,HONDA,CG 125 TITAN ES,Moto,PRATA,CG 125,"R$6.293,00","R$1.887,90","R$1.887,90"
22120223,Rondonópolis,Conservado,,CITROEN/C3 EXCL 14 FLEX,MT,CITROEN,C3 EXCL 14 FLEX,Carro,PRETA,C3,"R$25.590,00","R$7.677,00",
22120229,Rondonópolis,Conservado,,FORD/FIESTA,MT,FORD,FIESTA,Carro,VERMELHA,FIESTA,"R$18.316,00","R$5.494,80",
22120231,Rondonópolis,Conservado,,GM/CELTA,MT,GM,CELTA,Carro,PRATA,CELTA,"R$12.038,00","R$3.611,40",
22120232,Rondonópolis,Conservado,,GM/CORSA HATCH JOY,MT,GM,CORSA HATCH JOY,Carro,PRATA,CORSA,"R$20.188,00","R$6.056,40","R$6.056,40"
22120233,Rondonópolis,Conservado,,GM/CORSA WIND,MT,GM,CORSA WIND,Carro,AZUL,CORSA,"R$11.067,00","R$3.320,10",
22120234,Rondonópolis,Conservado,,HYUNDAI/HB20S 1.6M COMF,MT,HYUNDAI,HB20S 1.6M COMF,Carro,PRATA,HB20,"R$57.598,00","R$17.279,40","R$25.079,40"
22120235,Rondonópolis,Conservado,,1/FORD FOCUS SE AT 1.6 Η,MT,FORD,FORD FOCUS SE AT 1.6 Η,Carro,BRANCA,FOCUS,"R$48.413,00","R$14.523,90","R$28.800,00"
